residueCount,resolution,structureMolecularWeight,crystallizationTempK,densityMatthews,densityPercentSol,phValue
2012,0.0021000000000000003,217.68959,287.0,2.43,41.0,7.5
382,0.002,42.707550000000005,277.0,2.97,59.0,5.0
374,0.0026000000000000003,40.658500000000004,277.0,2.3,46.82,8.4
70,0.0017,8.17572,277.0,2.21,43.8,8.0
735,0.0021000000000000003,82.84997,277.0,2.3,47.0,6.0
305,0.002,35.88088,277.0,2.66,53.69,7.0
305,0.002,35.88088,277.0,2.66,53.69,7.0
305,0.002,35.88088,277.0,2.66,53.69,7.0
248,0.0017,28.43101,289.0,2.2,48.0,5.5
240,0.0018000000000000002,26.058500000000002,293.0,2.29,46.18,7.5
240,0.0018000000000000002,26.058500000000002,293.0,2.29,46.18,7.5
240,0.0018000000000000002,26.058500000000002,293.0,2.29,46.18,7.5
350,0.0018000000000000002,40.9017,295.0,2.2,44.1,7.0
446,0.0025,47.65381,277.0,2.07,61.0,5.6
402,0.0019,45.42853,277.0,2.05,32.0,6.1
129,0.0018000000000000002,14.99478,277.0,1.9,36.0,7.5
200,0.00233,24.20373,277.0,2.25,45.0,8.0
489,0.0021000000000000003,52.423449999999995,291.0,3.3,63.0,5.4
622,0.00215,70.83564,299.0,2.15,42.83,7.25
537,0.0028,60.90276,277.0,3.6,65.0,5.8
748,0.002,81.57319000000001,277.0,2.5,49.98,8.4
508,0.0024,56.9748,277.0,2.15,45.5,7.0
123,0.002,14.36011,289.0,3.3,63.0,5.2
842,0.002,98.16678,289.0,2.38,48.26,6.7
1135,0.0027,126.21935,313.0,3.8,70.0,7.0
1135,0.0027,126.21935,313.0,3.8,70.0,7.0
884,0.0034,103.30426,297.0,3.6,61.0,8.0
654,0.003,74.61907000000001,277.0,2.7,47.0,5.5
654,0.003,74.61907000000001,277.0,2.7,47.0,5.5
654,0.003,74.61907000000001,277.0,2.7,47.0,5.5
654,0.003,74.57703,277.0,2.7,47.0,5.5
550,0.0022,61.32441000000001,283.0,2.8,56.0,7.8
198,0.0025,21.901950000000003,294.0,2.22,45.0,5.6
198,0.0028,21.873900000000003,294.0,2.22,45.0,5.2
495,0.00207,57.32233,277.0,2.73,55.47,5.4
289,0.00244,29.824840000000002,279.0,2.19,43.7,6.0
289,0.00244,29.824840000000002,279.0,2.19,43.7,6.0
336,0.0023,38.65628,277.0,2.7,54.0,7.8
342,0.0026000000000000003,39.81257,294.0,2.7,52.7,9.3
165,0.0017,19.21674,298.0,2.16,43.0,6.0
332,0.0018000000000000002,38.11094000000001,297.0,2.26,45.5,7.36
672,0.0023,77.3032,297.0,2.9,57.65,7.36
162,0.0016,18.23821,281.0,2.16,43.1,4.5
363,0.0019,40.67474,198.0,3.15,60.94,7.5
952,0.0025299999999999997,106.39811999999999,277.0,2.4,47.9,7.0
1000,0.0027,116.27537,277.0,2.46,50.06,5.0
1000,0.0027,116.27537,277.0,2.46,50.06,5.0
434,0.0026000000000000003,47.54983,20.0,2.41,49.05,4.0
434,0.0026000000000000003,47.54983,20.0,2.41,49.05,4.0
524,0.002,57.691790000000005,300.0,2.65,53.65,7.5
1000,0.0025,116.28238,277.0,2.46,50.04,5.0
435,0.0019,48.00832,277.15,2.61,52.88,5.5
435,0.0019,48.00832,277.15,2.61,52.88,5.5
310,0.0019,35.994730000000004,293.0,2.03,39.41,8.5
488,0.0028,56.94794,291.0,2.45,49.78,8.5
217,0.00145,26.84615,277.0,2.18,43.58,6.5
710,0.0014,75.02722,296.0,2.77,55.63,8.7
710,0.0014,75.02722,296.0,2.77,55.63,8.7
244,0.0019,28.43249,300.0,2.86,56.93,7.6
244,0.0019,28.43249,300.0,2.86,56.93,7.6
326,0.00287,38.582699999999996,277.0,8.86,84.0,7.2
32,0.0017,3.82327,298.0,2.23,44.86,8.8
540,0.0045000000000000005,59.42113,279.0,6.15,79.99,8.0
2156,0.004200000000000001,237.16805,298.0,5.49,77.61,5.5
1152,0.0019,129.05834,295.0,2.25,45.31,5.0
424,0.0021000000000000003,48.06571,295.0,2.24,45.18,7.2
5820,0.002,645.3050000000001,277.0,3.27,62.43,7.4
5820,0.002,645.3050000000001,277.0,3.27,62.43,7.4
260,0.0025,30.23068,293.0,3.77,67.4,4.6
260,0.0025,30.23068,293.0,3.77,67.4,4.6
716,0.0022500000000000003,79.53188,296.0,2.6,52.71,8.7
418,0.0021000000000000003,47.43515,295.0,2.27,45.92,7.2
265,0.0021000000000000003,28.524430000000002,293.0,2.73,54.88,6.5
170,0.0027,19.0978,298.0,2.82,56.44,7.2
822,0.0021000000000000003,95.28417999999999,277.0,2.53,51.36,6.0
346,0.00183,39.79275,295.0,2.0,38.61,7.0
351,0.00188,41.12404,291.0,2.56,51.99,5.6
147,0.002,15.50147,298.0,2.83,56.52,7.0
274,0.00216,27.628700000000002,298.0,2.07,40.57,5.5
375,0.0025,43.03138,298.0,2.22,44.7,6.8
862,0.0023,100.28053,291.0,3.22,61.75,9.0
490,0.00239,53.60607,288.0,2.7,54.47,7.5
798,0.0024,83.79453,298.0,2.44,49.55,6.2
128,0.00184,14.0632,298.0,2.06,40.19,6.9
1228,0.0026000000000000003,142.51089000000002,277.0,2.53,51.38,6.5
1228,0.0026000000000000003,142.51089000000002,277.0,2.53,51.38,6.5
429,0.0021000000000000003,46.52093,297.5,2.11,41.82,5.5
429,0.0021000000000000003,46.52093,297.5,2.11,41.82,5.5
856,0.0024,92.82964,289.0,2.36,43.8,7.5
856,0.0024,92.82964,289.0,2.36,43.8,7.5
123,0.0019,13.854610000000001,293.0,2.31,46.79,7.2
136,0.0022500000000000003,15.48758,293.0,2.18,43.6,8.0
132,0.001,14.49281,277.0,1.0,37.48,7.0
3192,0.0019,372.20466,293.0,2.31,46.67,6.5
134,0.0024,15.19005,283.0,3.67,66.49,4.6
382,0.0026000000000000003,44.88879,293.0,2.69,54.23,7.25
731,0.0017,84.67656,293.0,2.6,52.7,6.0
742,0.003,81.34652000000001,293.0,2.89,57.4,7.4
828,0.0021000000000000003,94.4568,293.0,2.11,41.79,6.5
341,0.0029,37.983540000000005,298.0,2.66,53.72,5.4
341,0.0029,37.983540000000005,298.0,2.66,53.72,5.4
496,0.0023,56.03079,273.0,2.35,47.59,9.0
